Company,Day,Subject,Content
Adroll,Day 0,"!first_name, Welcome to AdRoll","Hi !first_name,
Let's set up time to discuss goals for your AdRoll account and ensure you have what you need to be successful.
When are you free to connect this week? You can use this link to book time directly on my calendar john-doe.youcanbook.me.
Thanks!
John
John Doe
Account Development Representative I P. 123 123 1234
AdRoll Awarded Facebook¡¯s Small Business Solutions Badge
Forbes Magazine: AdRoll selected as #1 in list of Innovative Ad Tech Companies
Follow us on Twitter and Facebook!"
Adroll,Day 3,Setting up your AdRoll Account for Success,"Hey !first_name,
I know your time is precious, so I¡¯ll keep this brief.  As your main point of contact at AdRoll, I want to make sure your account is set up for success.
We have a dedicated support team that can help you run dynamic personalized ads on the web, mobile, Facebook, and our team of platform specialists are happy to help with any questions.
When are you free to connect this week?
Best,
John
John Doe
Account Development Representative I P. 123 123 1234
AdRoll Awarded Facebook¡¯s Small Business Solutions Badge
Forbes Magazine: AdRoll selected as #1 in list of Innovative Ad Tech Companies
Follow us on Twitter and Facebook!"
Adroll,Day 5,"!first_name, let us help design your ads","Hi !first_name,
Did you know that AdRoll offers creative help? We will make you 7 FREE personalized, individually-sized ads to use in your campaigns.
I would love to chat, what time works best for you this week?
Thanks!
John
John Doe
Account Development Representative I P. 123 123 1234
AdRoll Awarded Facebook¡¯s Small Business Solutions Badge
Forbes Magazine: AdRoll selected as #1 in list of Innovative Ad Tech Companies
Follow us on Twitter and Facebook!"
Adroll,Day 13,"!first_name, Just Tried Calling","Hi !first_name,
Did you know that AdRoll supports Facebook along with 500+ other ad exchanges? Our research shows that when a customer adds Facebook to an existing display retargeting campaign advertisers see:
92% increase in impression reach
9% drop in cost per thousand impressions (CPM)
27% decrease in cost per clicks (CPC)
26% increase in click-through rates (CTR)
Please let me know when you have 10 minutes for a quick call. I would love to share more insights that are sure to improve your marketing efforts.
Thanks,
John
John Doe
Account Development Representative I P. 123 123 1234
AdRoll Awarded Facebook¡¯s Small Business Solutions Badge
Forbes Magazine: AdRoll selected as #1 in list of Innovative Ad Tech Companies
Follow us on Twitter and Facebook!"
Adroll,Day 25,Still Interested,"To whom it may concern,
I have made several attempts to reach you, and have had no response. With the rapid growth and success of the retargeting market, this will be the last time that I reach out to you. I was looking over your website and I really feel that this could be a great fit to increase the conversions on your website.
AdRoll is a Inc. 500 marketing company. We designed our platform to help decrease your shopping cart abandonment and increase your online conversions. On average, only 2-3% of your customers convert when first coming to the site. We aim to bring that other 97% back.
If you feel that this still is not the right fit for you, please email me and let me know. Otherwise, please give me a call so we can get you started on a free account. Keep in mind this platform has no startup fees, no spend commitments, and no barriers to exit.
This will be the last time that I reach out to introduce you to this concept of retargeting.
There is a link to my calendar in my signature below, feel free to schedule some time with me.
Thanks in advance,
John
John Doe
Account Development Representative I P. 123 123 1234
AdRoll Awarded Facebook¡¯s Small Business Solutions Badge
Forbes Magazine: AdRoll selected as #1 in list of Innovative Ad Tech Companies
Follow us on Twitter and Facebook!"
Salesloft,Day 0,!first_name's (!company) + SalesLoft,"Hey !first_name,
Big fan of your company's work. Would you be open to a discussion around how you approach customer acquisition?
Reason I ask, SalesLoft was built for teams like yours to streamline the engagement process with prospective clients. The platform combines phone, email, and social touches to ensure consistent execution of a sales cadence.
Whats the best way for us to connect?
Cheers,
John
John Doe | SalesLoft
Account Executive
(123) 123-1234
www.salesloft.com"
Datorama,Day 0,g'day from datorama,"Hi !first_name,
Happy Monday. I saw your company on LinkedIn and wanted to reach out. Cool to see what you guys are doing!
Wanted to reach out because I'm working with some clients in your space on a really interesting marketing performance project. Given your background, I think you would find the strategy compelling. Would love to tell you more.
Here's the quick pitch:
We solve two problems:
#1, marketing budgets are allocated in hundreds of different places. Making sense of it all is cumbersome, annoying, and slow.
#2, it¡¯s hard to access and share marketing performance data. Decisions get fogged. It discourages curiosity.
My company Datorama created a platform that does end to end media performance management.
We completely eliminates the need to do data cleansing, harmonization, and manual data manipulation.
Lot's of awesome stories from my other clients like L'Oreal, Chevron, & Ticketmaster.
Let me know if I can get on your dance card this week.
Looking forward,
John
John Doe
Director of Enterprise Sales
datorama
All Your Data, Working Together.
600 California Street 11th Floor, San Francisco, CA 94108
P +1 123 123 1234
Website | LinkedIn | Twitter | Facebook"
Swiftype,Day 0,Swiftype Site Search | !company,"Hi !first_name,
I hope this message finds you well. My name is John Doe and I manage Sales Development for Swiftype. I wanted to quickly reach out to you regarding site search and how we can benefit !company.
A little bit about us: Swiftype offers a customizable cloud based modern search engine that gives technical and non technical customers flexibility and control over their websites ability in directing customers to the most relevant items and articles. After taking a look at the !company website, I really think your business would benefit from our services.
Here are THREE compelling reasons (of many) for why you should take a call with us:
City of Wilson - ""Now that the site is primarily search-driven via Swiftype, we can confidently guide citizens and employees to what they need.""
EO Media Case Study - An increase in users (43%), sessions (17%) and new (46%) and returning (31%) users, 145% increase in ad revenue - 175% increase in users viewing a second
UPS Battery Center - ""We didn't want to do any serious engineering because we lack the financial resources to dedicate a staff team to search. We wanted something that works - an out-of-the-box solution.""
I would love the opportunity to share more of why you need Swiftype and how we can help your clients. How's Tuesday next week look for a 15 minute call?
Cheers,
John Doe
Sales Development Manager
ph: (123) 123-1234
Swiftype.com"
Swiftype,Day 3,Swiftype Site Search | CompanyABC,"Hi !first_name,
I wanted to check in again to see if you had a chance to look over my message. We have helped optimize site search for similar companies as !company, and I would love the opportunity to give a high level demo of our product.
Are you free for a quick call today?
Cheers,
John Doe
Sales Development Manager
ph: (123) 123-1234
Swiftype.com"
Yieldify,Day 0,Who/When/How?,"Hi !first_name,
Reaching out as it seems you oversee digital strategy for !company.
I want to introduce Yieldify's platform as a revenue optimization solution that allows our customers to serve tailored experiences to:
* Whoever (any traffic source, product interest, site abandoners)
* Whenever (when leaving the site, when lost onsite)
* However (exit intent light boxes, corner highlights, dynamic content)
All of this in an easy to use interface.
Can we grab time Thursday afternoon to see if Yieldify aligns with your goals for this year?
Thanks,
John
--
John Doe
Inside Sales Executive
Phone: 123-1234-1234"
Yieldify,Day 6,Three Thoughts,"Hi !first_name,
With the new year among us, thought that you may benefit from:
1. A couple of solid optimization ideas
2. An easy-to-use platform to execute
3. A correlated uplift in online sales and brand revenue
Can we target Wednesday afternoon to discuss?
Thanks,
John
--
John Doe
Inside Sales Executive
Phone: 123-1234-1234"
Yieldify,Day 7,Re: Three Thoughts,"Hi !first_name,
For reference, the campaigns are related both to add-to baskets as well as final conversion wins.
Realizing you're inundated with vendors promising 10X ROI on onsite tools, are you open to a very candid chat on which of the 50,000 campaigns Yieldify has launched may have a real revenue impact on your business?
Thursday afternoon looks good on my end, but I can adjust as needed.
John
--
John Doe
Inside Sales Executive
Phone: 123-1234-1234"
Yieldify,Day 10,Re: Three Thoughts,"Hi !first_name,
Appreciate you're are busy and sorry if I'm being a pest. The reason I keep contacting you is that from speaking with similar companies, I know maximizing conversion is always a hot topic.
Our team has analyzed your website and can see some opportunities for you to increase online sales in the same way as we have for brands like WSJ, Anthropologie and Samsung.
Can we discuss for 10 minutes next week?
Many thanks,
John
--
John Doe
Inside Sales Executive
Phone: 123-1234-1234"
Insight Squared,Day 0,!first_name // InsightSquared,"Hi !first_name,
Jonathan from InsightSquared here.
We are Partners with Salesforce, and they invested in us to help bring better visibility into the data your Sales team put into the CRM.
!company looks like a lot of the companies we help, especially if you are using Salesforce:
- Identify bottle necks in their funnel
- Where they are losing opportunites at specific stages and why
- Help sales reps identify what a buyer vs. a non buyer looks like so that they don't waste time on ""time wasters"".
Would you be open to a high level call where I can show you what I mean through a screen share with some of the screens below:
(1) MARKETING - Are we adding enough leads to the ""top of the funnel""?
(2) ACTIVITIES - How effective are we at following up with these leads?
(3) PIPELINE CREATION - Are our activities and lead gen efforts a leading indicator of pipeline creation?
(4) PIPELINE CHANGE - How did our pipeline change?
(5) SALES FUNNEL - What are our conversion rates?
(6) SALES CYCLE - How long is it taking each employee to close?
(7) WON/LOST - Compare won and lost opportunities
John Doe
Account Executive
www.insightsquared.com
Office: 123-123-1234"
CoreOS,Day 0,Docker Containers,"Hi !first_name,
I wanted to reach out to introduce myself. I help companies in the Bay Area with adopting Container Linux and kubernetes for running containerized applications in their environment.  I wanted to better understand if you are using Docker containers today and show how we can help you.
Would you have 10-15 minutes for a call on Thursday at 11am to discuss further?
Best regards,
John Doe
Territory Account Executive
john.doe@coreos.com
123-123-1234"
CoreOS,Day 3,Re: Docker Containers,"Hi !first_name,
I wanted to follow back up on this to see if there was any interest in discussing your docker container strategies and how CoreOS can help.
Would you have time early next week to catch up?
John Doe
Territory Account Executive
john.doe@coreos.com
123-123-1234"
CoreOS,Day 7,Docker Containers,"Hi !first_name
Would there be a better time this week to connect? I'd like to show how CoreOS with your container orchestration needs.
Would you have time Thursday morning for a conversation?
Best regards,
John Doe
Territory Account Executive
john.doe@coreos.com
123-123-1234"
Swiftstack,Day 0,SwiftStack for hybrid cloud backup and recovery,"Hi !first_name,
SwiftStack's on premises, cloud storage platform powered by open source technology has benefited companies such as Verizon, Oklahoma Medical Research Foundation, and eBay for their private cloud, backup and archive needs because we offer:
- Hardware-neutral software
- Ability to mix and match any x86 hardware within a single cluster
- Unlimited scalability without any performance issues.
- Half the cost of Isilon and NetApp systems
Here is a case study to give you additional color on how Burton Snowboards uses SwiftStack.
Would you have 20 minutes available this week or next for a personalized demo?
Best,
John
John Doe
Product Engineer
Phone: (123) 123-1234
SwiftStack"
Swiftstack,Day 3,Re: SwiftStack for hybrid cloud backup and recovery,"Hi !first_name,
Here is some relevant content about how SwiftStack is being leveraged for storage, backups and recovery:
SwiftStack for backup and recovery
I'd be happy to set up a short phone call with one of our architects for a more personalized experience with SwiftStack software.
Would you have 20 minutes available this week or next?
Best,
John
John Doe
Product Engineer
Phone: (123) 123-1234
SwiftStack"
Swiftstack,Day 6,SwiftStack for hybrid cloud backup and recovery,"Hi !first_name,
Just wanted to follow up and see if we could get that short technical demo set up for you.
Would you have 20 minutes available this week or next?
Best,
John
John Doe
Product Engineer
Phone: (123) 123-1234
SwiftStack"
Swiftstack,Day 9,Re: SwiftStack for hybrid cloud backup and recovery,"Hi !first_name,
I'm looking to connect with whoever is in charge of storage, backups and recovery.  Are you the right person?
Please reply and let me know or feel free to forward this email thread to your colleague.
Best,
John
John Doe
Product Engineer
Phone: (123) 123-1234
SwiftStack"
Gorgias,Day 0,!company - Respond faster to customers,"Hi,
I've seen from your website that you're getting repetitive support requests.
I'm the !title of Gorgias, we help support teams treat all customer support in one screen. This way, the support team can respond faster to customers.
Do you think it could help !company? If so, happy to tell you how (here's my calendar) / show you a demo (we're in SF too).
John
Gorgias.io"
Gorgias,Day 2,Re: !company - Respond faster to customers,"Hi,
Did you have any feedback? I know lack of context on support messages is a big problem for commerce businesses. I would highly appreciate your response or a referral to your colleague at !company that I should be speaking with.
If this is not of interest to you, please just let me know and i won't contact you again;)
Thanks,
John Doe"
Gorgias,Day 6,Re: !company - Respond faster to customers,"Hi,
I know that email messages could be piling up in your inbox. I only wanted to make sure that you have received my previous emails.
You might like this blog post
delivering customer support at scale
, as it could help your team build the right macro set for !company.
Are you available to talk later this week? Here is a link to my calendar: https://calendly.com/abcd
Thanks!
John Doe"
Gorgias,Day 14,Re: !company - Respond faster to customers,"Hi,
I understand you¡¯re very busy and getting all customer support in one place might not be your priority, so this will be the final email.
Should you decide to respond, I¡¯ll be glad to discuss how Gorgias can help agents respond faster to customers, by seeing data from the back-office next to their message. (here¡¯s my calendar, just in case). I will also appreciate if you forward my communication to a person at !company that would be best to discuss customer support.
Thanks!
John Doe"
Delighted,Day 0,!company + Delighted,"Howdy,
I saw you got your Delighted account set up with your branding. Awesome.
How can I help? Any questions?
Most people start with a small test with some recent customers to see Delighted in action. You can do that without engineering. Just go to ¡°Survey people¡± and add some recent customers you want feedback from, or you can use this link:
https://delighted.com/go/send-a-survey
Cheers,
John Doe
Delighted"
LeadIQ,Day 0,"Thanks for signing up, should we chat?","Hi !first_name,
Thanks again for signing up for a trial with LeadIQ. Hope it's going well for you.
Are you available for a quick meeting to discuss your use case and see if we can assist in any way? If not, no rush. Enjoy the trial and I can follow up later if help is needed.
If so, simply click on the link below to schedule a time in my calendar.
Click here to set up a time
Cheers,
John Doe"
LeadIQ,Day 9,LeadIQ features you don't know about,"Hi !first_name,
How's your trial of LeadIQ going so far?
Did you know LeadIQ also works for teams, has unlimited use plans, and can get mobile phone direct dials of prospects? We can also enrich spreadsheets, and sync with popular email tools. - all to help you win more.
If this seems interesting, let's have a quick call / walk-through. I know you're busy and I don't want you to miss anything.
Click here to set up a time
Cheers,
John Doe"
LeadIQ,Day 22,Last call for LeadIQ meeting,"Hi !first_name,
You're almost through your personal trial of LeadIQ and I thought I'd reach out once more to offer any help.
You can certainly sign up for LeadIQ on your own, although if you have any of the following needs, a meeting will be beneficial.
Cheers,
John Doe"
Luminati,Day 0,Luminati <> !company,"Dear !first_name,
I assume !company needs to gather third party data for services.
Sometimes this requires a proxy server network.
Luminati has changed the game for proxy services -- we enable you to
send your HTTP/Socks5 requests through our huge peer to peer network, through millions of IPs, in every city in the world.
You can sign up for a free trial at luminati.io/?affiliate, and I would like to talk to you in more depth about our service. When will be the best time to schedule a call?
Best Regards,
John Doe"
Luminati,Day 7,Re: Luminati <> !company,"Hello,
Following up on my last email, It would be great to setup a call this week.
Looking forward to your response.
Best Regards,
John"
Luminati,Day 10,Re: Luminati <> !company,"Hi,
I am writing with the hope of talking to the appropriate person who handles
your proxy networks. If it makes sense to have a call, let me know how your schedule looks.
Best Regards,
John"
Luminati,Day 14,Re: Luminati <> !company,"Hi,
I would like to schedule a quick call this week.
What's the best way to schedule a 15 minute call?
Thanks,
John"
Highspot,Day 0,Sales Enablement at !company,"Hi !first_name,
Is your team currently evaluating a sales enablement or sales asset management solution to ensure your sellers can quickly find, customize, and share content and training materials?
Check this out and let me know if you're available for a brief 10-minute call on Monday or Tuesday to see how we could help you increase your sales team's effectiveness and efficiency. Thank you, !first_name!
Highspot: A Breakthrough Approach to Sales Enablement
Best Regards,
John Doe
Austin Hitchcock highspot inc.
Direct: +1.123.123.1234
2401 4th Avenue, Seattle, Wa 98121
Highspot Resource Library"
OPSGenie,Day 0,Possibly save $$ on IT side of !company?,"Hi !first_name,
IT departments are becoming overwhelmed with alerts from multiple monitoring, ticketing, and log management systems, in turn making it difficult to keep their essential services running in an increasingly complex IT infrastructure.  Do you see this challenge at !company?
I thought you may find this recently published blog an interesting read:
The Human Side of IT Monitoring
. I hope you enjoy it.
Thanks,
John
John Doe
Sales Development Representative, OpsGenie
www.opsgenie.com"
OPSGenie,Day 2,Re: Possibly save $$ on IT side of !company?,"Hi !first_name,
After looking into !company, I've realized how important it is for you to have 24/7 uptime in order to optimize revenue and provide the designers with such a great service.
What would happen if !company's site went down for a few hours or designers were not able to interact with the site properly?
Are you interested in learning about some similar companies have saved time and money through strategically routing the alerts from their various monitoring and ticketing tools?
John Doe
Sales Development Representative, OpsGenie
www.opsgenie.com"
OPSGenie,Day 6,HubSpot's Alerting & On-Call Management Strategy,"Hi !first_name,
I have made a few attempts to reach you, I understand things can get hectic and there are not enough hours in a day but I am hoping to have a brief conversation with you regarding OpsGenie when it is convenient for you.
Organizations like HubSpot (read their case study here) with large IT operations constantly seek greater visibility to monitor and respond to incidents so that essential services continue running in an increasingly complex IT infrastructure. Overwhelmed with alerts from multiple monitoring systems, the process of identifying an actionable alert and notifying the right team is a serious challenge.  That is where we come in.
Do you have 15 minutes in the next week to discuss further?
Thanks,
John Doe"
Leadspace,Day 0,Leadspace checking in,"Hi !first_name,
This is John Doe over at Leadspace -- are you familiar with us?
I'm reaching out for a couple reasons. First, our end-to-end data management platform has been helping both Sales and Marketing professionals target new customers that look like their existing best customers. In fact, that's how I came across !company to begin with.
Depending on what your goals are for 2017, we may be able to help you grow the bottomline through areas like Predictive, Data Enrichment (""clean up""), and discovery of net new accounts and contacts.
Do you have a few minutes to connect and see if this is something that may be of value to you?
Best,
John"
Callrail,Day 0,time to talk?,"Hi !first_name,
I'm with CallRail - a call tracking company that allows you to measure phone call conversions from your search, digital, and offline marketing campaigns ? including PPC keywords.
Thought you would be the best person to discuss your company's call tracking needs and if we would be a good fit working together.  If you are the right person, does a call Wednesday work?  If not, any help being pointed in the right direction would be much appreciated.
Thanks,
John"
Callrail,Day 3,Re: time to talk?,"Hi !first_name,
Just following up on this note.  Let me know the best time to connect.
Thanks,
John"
Callrail,Day 6,chat about call tracking?,"Hi !first_name,
Know you are busy so not trying to be a pest.  Just wanted to learn more about your call tracking goals and if CallRail¡¯s intuitive software can help you meet them.
CallRail was rated #1 in customer satisfaction so think a call to talk further would be beneficial.  Does Tuesday work for you?
Thanks,
John"
Callrail,Day 13,Next Steps,"Hi !first_name,
Have tried to reach you a few times but haven¡¯t been able to get in touch. CallRail¡¯s easy-to-use interface and top rated support have helped companies similar to !company optimize their marketing campaigns and grow their business.
Would be interested to talk further and hear what it would take to earn your business or have you try out the platform for yourself with our 14-day free trial. Let me know what works best.
Thanks,
John"
Callrail,Day 21,hey there,"!first_name,
Haven't been able to connect so wanted to send some information about CallRail over for you to review when you have some free time.  I have included a link to a quick 5-minute video overview of CallRail's platform, our pricing page and a piece of content on the feature we offer.  Please let me know if you have any questions or would like to get started with a trial account.
www.callrail.com/pricing
Thanks,
John"
Velocify,Day 0,!company & Velocify,"Hi !first_name,
Thought you would be the best person to talk to about the sales tools and processes you have in place. I'm with Velocify and we work with tech companies to help accelerate their team's performance, keep pipeline data clean and boost revenue with a simple, yet robust, CRM platform. Do you currently have anything like this in place?
Here's an example of how we helped Zuman increase their
booked sales meetings by 180% in their first month of implementation
.
It looks like !company could benefit from our solution like other companies have.I'd like to learn more about your sales organization and see if Velocify could be a good fit for the team. Do you have a few minutes today or next week for a call to discuss?
Best,
John
John Doe
Business Development Consultant"
Velocify,Day 6,Re: !company & Velocify,"Hi !first_name,
I just wanted to makes sure you received the email I sent over last week. Please see below¡¦
Best,
John
John Doe
Business Development Consultant"
Velocify,Day 14,How about today?,"Hi !first_name,
Thought I'd shoot you another email and see if you had a few minutes today for a quick call. I saw that !company is growing the team and I thought, since you are in leadership, you might be interested in learning about our CRM tool that is designed to easily ramp new sales hires, as well as, keep them on target to exceed revenue goals month over month.
I'd like to learn more about your goals as a company and discuss how our tool, Velocify, could help you grow. Do you have 5-10 minutes open today?
Best,
John"
Velocify,Day 25,!company Sales,"Hi !first_name,
Looks like !company is doing great work in San Francisco. It¡¯s great seeing a company tap into the creative community and diversifying access to talented designers. For sure telling my designer friends to apply.
That said, curious if you are building a sales team yet. Are you open to checking out a sales tool that will keep Opportunities and Leads from slipping through the cracks? It integrates really nicely within Salesforce and other CRMs to help keep your data clean and organized.
I promise not to waste your time if you'll give me 10 minutes. What do you think?
Best,
John"
Enlume,Day 0,Appropriate person,"Hi !first_name,
Hope you are doing great!
I reached out to you a while ago regarding how EnLume can help you scale up your operations.
I noticed that you have opened my email.
Here are some ways we can work together:
1. Design / redesign app architecture to support high traction
2. Customize Android functionality
3. Customize iOS functionality
4. IoT Integration
5. Big Data Analytics
6. DevOps Automation
7. QA Services
I¡¯d love to learn more about all the great things you are doing at !company and explore how we can become an asset for you.
If you are the appropriate person to talk with, What does your calendar look like? If not, Whom do you recommend I talk to?
Thanks and Regards
Andy
Sr. Business Development Manager
EnLume Inc
1183 Bordeaux Dr, #20
Sunnyvale, CA 94089
USA"
Enlume,Day 13,Re: Appropriate person,"Hi !first_name,
I am writing in hopes of finding the appropriate person who handles Native iOS and Android applications, Hybrid web/mobile applications development at !company.
I also wrote to !second_name in this pursuit. If it makes sense to talk, let me know how your calendar looks?
We work with high growth startups and industry giants like Coca Cola, American Airlines, Quisk, CapOp Energy and BKR, who say that we helped them solve their major business challenges. Over a decade, our 120+ technical resources worldwide have engineered 100+ complex projects/automation for E-commerce, Energy, Analytics, Mobile payments, Education sectors to name a few.
If you are the appropriate person to talk with, what does your calendar look like?  I imagine you¡¯re super busy, so your help would mean a lot ! If not, whom do you recommend I talk to?
Thanks and Regards
John Doe
Sr. Business Development Manager
EnLume Inc
1183 Bordeaux Dr, #20
Sunnyvale, CA 94089
USA"
Etouches,Day 0,Can We Connect?,"Hi !first_name,
Hope you¡¯re having a great morning! My name is John and I am reaching out from etouches. etouches is a leading meeting & events sourcing, registration and management platform. We work with meeting, event and marketing professionals to deliver the latest event management technology.  I wanted to connect in regards to the meetings and events managed at !company. Is this something that you currently handle?
If so, I would appreciate 15-minutes of your time to learn more about how you are currently managing meetings and events to ensure success. Would you be available sometime this week?
If you could let me know your thoughts, either way, I would appreciate it.
Best,
John
John Doe
Business Development Representative
etouches,  global cloud event management software
Mail | P : +1 123 123 1234  | Follow us : @etouches"
Etouches,Day 2,Meeting on Tuesday?,"Hi !first_name,
I hope you¡¯re doing well. I¡¯m John and I am a representative at etouches. etouches is a cloud based event management software. I wanted to reach out as I understand you manage meeting and events at !company.
I would love to schedule a time to meet to see if etouches is a viable option to enhance your meetings and events strategy. Do you have availability to meet on Tuesday?
I look forward to hearing from you!
Best,
John
John Doe
Business Development Representative
etouches,  global cloud event management software
Mail | P : +1 123 123 1234  | Follow us : @etouches"
Etouches,Day 8,Busy or Not interested?,"Hi !first_name,
I hope you are well. I¡¯ve contacted you a few times and have not heard back. I know you are very busy and have many people trying to get time on your already booked calendar. I¡¯m being persistent because etouches event management and venue sourcing solutions were built by event planners. Our background enables us to better understand the pains you go through daily and deliver solutions that allow you to get time back in your busy day.
Would you happen to have 30 minutes in the next two weeks to discuss your needs and see if etouches may be able to help you? Let me know a couple of possible openings on your calendar.
If you are not interested or if this is not something you manage, please let me know so I don¡¯t keep pestering you.
Best,
John
John Doe
Business Development Representative
etouches,  global cloud event management software
Mail | P : +1 123 123 1234  | Follow us : @etouches"
Liveramp,Day 0,Partnership opportunities,"Hi there,
Happy Friday! I was just on your company website and though your platform would be perfect to introduce to LiveRamp. We specialize in identity resolution and data connectivity, and several of your peers rely on us to enable people-based marketing.
What's the best way to grab 15 min on your calendar to share some ideas? Also, I have included a link to a one-pager here.
I look forward to connecting
John
John Doe | LiveRamp
225 Bush st. San Francisco, CA 94109"
Liveramp,Day 7,Re: Partnership opportunities,"Hi there,
I wanted to follow up on my previous email. For your convenience, just select a number below and I will handle the rest:
1) I am super interested! Please follow up today.
2) I am interested, but please follow up at a later time.
3) I have no idea what LiveRamp is.
4) Not interested, but thanks!
Looking forward to hearing back.
Cheers
John
John Doe | LiveRamp
225 Bush st. San Francisco, CA 94109"
Left Productions,Day 0,Call,"Hello !first_name,
I'm curious about email marketing SaaS companies and I came across !company, I think you have a really interesting service on offer, and as a company could really benefit from a memorable video.
I'm John from Left Productions. We produce engaging video campaigns like the one seen below for SaaS company, Front. Or gripping content like this one for MedicAnimal with fugly animals.
We also create motion design content like this video for Ynsect and we specialize in creating compelling content for tech and web companies like !company.
If you're interested in producing video content for !company in the future, we'd love to discuss it with you over the phone!
Have a good day,
John Doe
Left Productions / digital production company / www.leftproductions.com
3?me Gauche / first french music media on YouTube / www.youtube.com/3emegauche
Offices : London - Paris
Check out our latest productions here!"
